AppID,Name,Release date,Estimated owners,Price,Supported languages,Metacritic score,User score,Positive,Negative,Recommendations,Average playtime forever,Median playtime forever,Developers,Publishers,Categories,Genres,Steam score,Lower,Upper,Earnings Range
400,Portal,"Oct 10, 2007",10000000 - 20000000,9.99,"['English', 'French', 'German', 'Russian', 'Danish', 'Dutch', 'Finnish', 'Italian', 'Japanese', 'Norwegian', 'Polish', 'Portuguese', 'Simplified Chinese', 'Spanish - Spain', 'Swedish', 'Traditional Chinese', 'Korean']",90,0,108353,1715,91584,484,168,Valve,Valve,"Single-player,Steam Achievements,Captions available,Partial Controller Support,Includes level editor,Includes Source SDK,Commentary available,Remote Play on Phone,Remote Play on Tablet,Remote Play Together",Action,98,10000000,20000000,"(99900000.0, 199800000.0)"
1123450,Chicory: A Colorful Tale,"Jun 10, 2021",20000 - 50000,19.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Russian']",90,0,1835,39,1562,1938,1938,"Greg Lobanov,Alexis Dean-Jones,Lena Raine,Madeline Berger,A Shell in the Pit",Finji,"Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud,Remote Play Together","Adventure,Indie,RPG",98,20000,50000,"(399799.99999999994, 999499.9999999999)"
52003,Portal,"Oct 10, 2007",0 - 20000,9.99,"['English', 'French', 'German', 'Russian', 'Danish', 'Dutch', 'Finnish', 'Italian', 'Japanese', 'Norwegian', 'Polish', 'Portuguese', 'Simplified Chinese', 'Spanish - Spain', 'Swedish', 'Traditional Chinese', 'Korean']",90,0,56620,1154,91622,0,0,Valve,Valve,"Single-player,Steam Achievements,Captions available,Partial Controller Support,Includes level editor,Includes Source SDK,Commentary available,Remote Play on Phone,Remote Play on Tablet,Remote Play Together",Action,98,0,20000,"(0.0, 199800.0)"
1533420,Neon White,"Jun 16, 2022",100000 - 200000,24.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese', 'Turkish']",89,0,5091,83,4669,1651,2085,Angel Matrix,Annapurna Interactive,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards","Action,Adventure,Indie",98,100000,200000,"(2499000.0, 4998000.0)"
730820,The Curse of Monkey Island,"Mar 22, 2018",100000 - 200000,6.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain']",89,0,1742,42,1679,192,207,LucasArts,"LucasArts,Lucasfilm,Disney","Single-player,Steam Cloud",Adventure,98,100000,200000,"(699000.0, 1398000.0)"
646570,Slay the Spire,"Jan 23, 2019",2000000 - 5000000,24.99,"['English', 'Simplified Chinese', 'French', 'German', 'Korean', 'Russian', 'Japanese', 'Polish', 'Ukrainian', 'Spanish - Spain', 'Italian', 'Dutch', 'Traditional Chinese', 'Turkish', 'Thai', 'Portuguese - Brazil', 'Vietnamese']",89,0,112452,2428,97779,4791,2075,Mega Crit Games,Mega Crit Games,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Indie,Strategy",98,2000000,5000000,"(49980000.0, 124949999.99999999)"
607080,Psychonauts 2,"Aug 24, 2021",100000 - 200000,59.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Russian', 'Spanish - Latin America']",89,0,7212,156,6007,903,1060,Double Fine Productions,Xbox Game Studios,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play Together","Action,Adventure",98,100000,200000,"(5999000.0, 11998000.0)"
1240210,There Is No Game: Wrong Dimension,"Aug 6, 2020",200000 - 500000,12.99,"['English', 'French', 'Spanish - Spain', 'Portuguese - Brazil', 'German', 'Simplified Chinese', 'Italian', 'Russian', 'Korean', 'Japanese']",89,0,16479,321,15507,293,306,Draw Me A Pixel,Draw Me A Pixel,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Remote Play on Tablet","Adventure,Casual,Indie",98,200000,500000,"(2598000.0, 6495000.0)"
413150,Stardew Valley,"Feb 26, 2016",10000000 - 20000000,14.99,"['English', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'French', 'Italian', 'Hungarian', 'Korean', 'Turkish']",89,0,475785,8983,408579,3753,1458,ConcernedApe,ConcernedApe,"Single-player,Multi-player,Co-op,Online Co-op,LAN Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play Together","Indie,RPG,Simulation",98,10000000,20000000,"(149900000.0, 299800000.0)"
519860,DUSK,"Dec 10, 2018",1000000 - 2000000,19.99,"['English', 'Simplified Chinese', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese', 'Portuguese - Brazil', 'Russian', 'Spanish - Latin America', 'Traditional Chinese', 'Turkish', 'Ukrainian']",88,0,15633,334,14165,867,240,David Szymanski,New Blood Interactive,"Single-player,Multi-player,PvP,Online PvP,LAN PvP,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Includes level editor","Action,Indie",98,1000000,2000000,"(19990000.0, 39980000.0)"
